Original comparison,Species,Majority protein IDs,Fasta headers,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank
50Vs5,yeast,P32366,>sp|P32366|VA0D_YEAST V-type proton ATPase subunit d OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA6 PE=1 SV=2,2,2,2,8.4,8.4,8.4,39.79,1.18E+07,1.52E+07,1.31E+07,,1.45E+07,1.34E+07,23.4871,23.8534,23.638,22.0116,23.7896,23.6735,0.317687,0.481186019,0.664097423,0.501253,0.68250225,0.68250225,0,0,0,1902
50Vs0.5,yeast,P26755,>sp|P26755|RFA3_YEAST Replication factor A protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFA3 PE=1 SV=1,1,1,1,12.3,12.3,12.3,13.816,4.70E+06,5.53E+06,4.27E+06,6.26E+06,1.12E+07,1.06E+07,22.1627,22.3981,22.0247,22.5785,23.421,23.3372,1.06172,0.086752101,0.301621542,-0.917067,-0.68242283,0.68242283,0,0,0,755
50Vs0.5,yeast,Q08245,>sp|Q08245|ZEO1_YEAST Protein ZEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZEO1 PE=1 SV=3,11,11,11,58.4,58.4,58.4,12.589,3.30E+08,3.42E+08,4.52E+08,1.91E+08,2.10E+08,2.02E+08,28.2966,28.3483,28.752,27.5106,27.6436,27.5919,1.56379,0.027302977,0.201888209,0.883601,0.678896054,0.678896054,1,0,0,355
25Vs12.5,yeast,P32897,>sp|P32897|TIM23_YEAST Mitochondrial import inner membrane translocase subunit TIM23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM23 PE=1 SV=1,1,1,1,8.6,8.6,8.6,23.243,1.96E+06,2.55E+06,2.18E+06,,2.15E+06,2.28E+06,20.9034,21.2798,21.054,21.8307,21.0352,21.1224,0.33898,0.458162985,0.648693547,-0.250383,-0.676422602,0.676422602,0,0,0,1854
25Vs12.5,yeast,Q07825,>sp|Q07825|FRA1_YEAST Putative Xaa-Pro aminopeptidase FRA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRA1 PE=1 SV=1,2,2,2,4.3,4.3,4.3,84.923,3.15E+06,3.15E+06,3.33E+06,,2.53E+06,2.32E+06,21.5866,21.5874,21.6686,21.8307,21.2722,21.1469,0.34713,0.44964524,0.643576202,0.197584,0.674013945,0.674013945,0,0,0,1834
25Vs12.5,yeast,A6ZR27;P40047,">sp|A6ZR27|ALDH5_YEAS7 Aldehyde dehydrogenase 5, mitochondrial OS=Saccharomyces cerevisiae (strain YJM789) GN=ALD5 PE=3 SV=1;>sp|P40047|ALDH5_YEAST Aldehyde dehydrogenase 5, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD5 PE=",4,4,4,9.6,9.6,9.6,56.692,1.86E+07,1.69E+07,1.42E+07,1.30E+07,1.53E+07,1.49E+07,24.1485,24.0121,23.7624,23.6313,23.8714,23.8293,0.549417,0.282216889,0.502591135,0.197,0.672253425,0.672253425,0,0,0,1474
25Vs12.5,yeast,P16649,>sp|P16649|TUP1_YEAST General transcriptional corepressor TUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUP1 PE=1 SV=2,2,2,2,5.3,5.3,5.3,78.307,3.99E+06,,4.51E+06,5.09E+06,4.49E+06,5.04E+06,21.9285,21.8634,22.1051,22.2795,22.0995,22.2649,0.940702,0.114629923,0.335829852,-0.24895,-0.672102696,0.672102696,0,0,0,896
50Vs5,yeast,P00045,>sp|P00045|CYC7_YEAST Cytochrome c iso-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC7 PE=1 SV=1,3,2,2,31,21.2,21.2,12.532,4.34E+06,3.69E+06,5.02E+06,,2.51E+06,2.75E+06,22.0509,21.8143,22.2603,22.0116,21.2583,21.3894,0.683564,0.207222066,0.4411662,0.488719,0.669249143,0.669249143,0,0,0,1233
25Vs12.5,yeast,Q03102,>sp|Q03102|YMN1_YEAST Uncharacterized membrane protein YML131W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YML131W PE=1 SV=1,4,4,4,18.4,18.4,18.4,39.976,2.97E+07,2.69E+07,2.56E+07,2.18E+07,2.50E+07,2.50E+07,24.8224,24.6806,24.6096,24.3785,24.5752,24.5772,0.778769,0.166429765,0.396081716,0.1939,0.662908198,0.662908198,0,0,0,1103
25Vs12.5,yeast,P17649,>sp|P17649|GABAT_YEAST 4-aminobutyrate aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UGA1 PE=1 SV=2,8,8,8,22.3,22.3,22.3,52.946,5.72E+07,5.01E+07,5.09E+07,6.17E+07,6.25E+07,6.31E+07,25.7699,25.5788,25.602,25.8788,25.8977,25.9113,1.24898,0.056366361,0.261416428,-0.2457,-0.66230528,0.66230528,0,0,0,566
50Vs0.5,yeast,P47122,>sp|P47122|NPA3_YEAST GTPase NPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPA3 PE=1 SV=1,1,1,1,3.1,3.1,3.1,43.194,,,,2.52E+06,2.71E+06,2.29E+06,22.1275,22.1266,22.0848,21.2669,21.3682,21.1262,2.16327,0.006866414,0.123454366,0.859205,0.66045249,0.66045249,1,0,0,146
50Vs5,yeast,Q08723,>sp|Q08723|RPN8_YEAST 26S proteasome regulatory subunit RPN8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN8 PE=1 SV=3,4,4,4,19.2,19.2,19.2,38.312,1.43E+07,1.64E+07,1.77E+07,,1.92E+07,1.91E+07,23.7693,23.9634,24.0751,22.0116,24.192,24.1851,0.2336,0.583982725,0.738773326,0.47302,0.652649451,0.652649451,0,0,0,2075
50Vs5,yeast,O14467,>sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBF1 PE=1 SV=2,2,2,2,13.2,13.2,13.2,16.403,6.74E+06,9.23E+06,1.01E+07,,7.88E+06,7.05E+06,22.6852,23.1375,23.266,22.0116,22.9103,22.7498,0.542806,0.286545769,0.507203401,0.472321,0.651910348,0.651910348,0,0,0,1483
25Vs12.5,yeast,P38427,>sp|P38427|TSL1_YEAST Trehalose synthase complex regulatory subunit TSL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSL1 PE=1 SV=1,2,2,2,2.2,2.2,2.2,123.02,2.88E+06,3.78E+06,4.39E+06,3.64E+06,2.64E+06,3.36E+06,21.4593,21.8497,22.0658,21.7957,21.3311,21.6779,0.311187,0.488441999,0.670936812,0.190033,0.651250781,0.651250781,0,0,0,1911
25Vs12.5,yeast,P31383,>sp|P31383|2AAA_YEAST Protein phosphatase PP2A regulatory subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPD3 PE=1 SV=3,3,3,3,7.4,7.4,7.4,70.907,1.09E+07,9.90E+06,9.87E+06,1.15E+07,1.17E+07,1.31E+07,23.384,23.2396,23.2351,23.457,23.4827,23.6436,1.062,0.086696188,0.301826913,-0.241534,-0.649746501,0.649746501,0,0,0,754
50Vs5,yeast,P05747,>sp|P05747|RL29_YEAST 60S ribosomal protein L29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL29 PE=1 SV=3,2,2,2,32.2,32.2,32.2,6.6687,,5.75E+04,,9.17E+05,7.00E+05,4.74E+05,21.8488,15.8104,21.8201,19.8067,19.417,18.8537,0.0761812,0.839109813,0.911321166,0.467297,0.646598108,0.646598108,0,0,0,2417
25Vs12.5,yeast,P11353,>sp|P11353|HEM6_YEAST Coproporphyrinogen-III oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM13 PE=1 SV=2,2,2,2,10.1,10.1,10.1,37.711,1.22E+07,1.05E+07,9.85E+06,1.34E+07,1.17E+07,1.33E+07,23.5439,23.3221,23.2322,23.6758,23.4764,23.6656,0.774893,0.167921769,0.398188476,-0.239867,-0.644721181,0.644721181,0,0,0,1107
25Vs12.5,yeast,P38912,>sp|P38912|IF1A_YEAST Eukaryotic translation initiation factor 1A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF11 PE=1 SV=1,3,3,3,22.2,22.2,22.2,17.435,7.55E+06,8.49E+06,9.13E+06,7.54E+06,7.65E+06,6.86E+06,22.8482,23.0168,23.1223,22.847,22.8669,22.7098,0.736834,0.183301492,0.41337321,0.187866,0.644718166,0.644718166,0,0,0,1164
25Vs12.5,yeast,P11632,>sp|P11632|NHP6A_YEAST Non-histone chromosomal protein 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP6A PE=1 SV=1,1,1,1,14,14,14,10.802,2.40E+07,2.88E+07,2.37E+07,2.29E+07,2.24E+07,2.17E+07,24.5159,24.7815,24.5,24.4496,24.4145,24.3703,0.734275,0.184384751,0.414747189,0.187667,0.644118263,0.644118263,0,0,0,1167
50Vs0.5,yeast,P07275,">sp|P07275|PUT2_YEAST Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUT2 PE=1 SV=2",3,3,3,7.5,7.5,7.5,64.434,1.13E+07,1.26E+07,1.07E+07,,8.03E+06,6.99E+06,23.4353,23.5822,23.3448,22.1921,22.9377,22.7364,1.15266,0.070362296,0.281556442,0.832035,0.639911761,0.639911761,0,0,0,656
25Vs12.5,yeast,P32771,>sp|P32771|FADH_YEAST S-(hydroxymethyl)glutathione dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFA1 PE=1 SV=1,3,3,3,9.6,9.6,9.6,41.042,5.59E+06,4.62E+06,4.96E+06,6.02E+06,5.45E+06,6.39E+06,22.4141,22.1387,22.2407,22.521,22.3773,22.6073,0.819471,0.151540599,0.382862438,-0.237366,-0.637181693,0.637181693,0,0,0,1039
25Vs12.5,yeast,P38717,>sp|P38717|SIP3_YEAST Protein SIP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIP3 PE=1 SV=1,1,1,1,0.8,0.8,0.8,142.82,1.25E+07,1.44E+07,1.38E+07,1.18E+07,1.19E+07,1.20E+07,23.5767,23.7798,23.719,23.4979,23.507,23.5154,1.03606,0.092032242,0.308143666,0.185067,0.63628033,0.63628033,0,0,0,784
50Vs0.5,yeast,P00546,>sp|P00546|CDK1_YEAST Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1,2,2,2,7.7,7.7,7.7,34.061,2.24E+06,2.09E+06,1.96E+06,,,2.43E+06,21.0969,20.9923,20.9038,22.1921,22.1527,21.2139,0.924946,0.118865001,0.338784613,-0.855233,-0.63567585,0.63567585,0,0,0,921
25Vs12.5,yeast,P29704,>sp|P29704|FDFT_YEAST Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG9 PE=1 SV=2,2,2,2,4.7,4.7,4.7,51.719,1.30E+07,1.88E+07,1.24E+07,1.22E+07,1.25E+07,1.35E+07,23.632,24.161,23.5634,23.5425,23.5742,23.6853,0.355796,0.440761853,0.637114462,0.1848,0.635475435,0.635475435,0,0,0,1816
50Vs0.5,yeast,P32335,">sp|P32335|MSS51_YEAST Protein MSS51, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSS51 PE=1 SV=2",1,1,1,2.3,2.3,2.3,50.88,2.11E+06,1.43E+06,1.78E+06,8.26E+05,9.17E+05,1.27E+06,21.0087,20.4457,20.7638,19.6564,19.8066,20.2774,1.09904,0.079608602,0.289837145,0.825933,0.635298602,0.635298602,0,0,0,721
50Vs0.5,yeast,Q12408,>sp|Q12408|NPC2_YEAST Phosphatidylglycerol/phosphatidylinositol transfer protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPC2 PE=1 SV=1,2,2,2,13.3,13.3,13.3,19.063,1.98E+07,1.98E+07,1.83E+07,,1.35E+07,1.99E+07,24.2367,24.241,24.1246,22.1921,23.6866,24.2496,0.505849,0.311997418,0.528042052,0.824668,0.634342252,0.634342252,0,0,0,1551
25Vs12.5,yeast,P13574,>sp|P13574|STE12_YEAST Protein STE12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE12 PE=1 SV=1,1,1,1,1.2,1.2,1.2,77.866,2.35E+07,2.64E+07,2.32E+07,1.98E+07,2.17E+07,2.28E+07,24.4835,24.6515,24.4703,24.2353,24.3742,24.443,0.793528,0.160868866,0.393918631,0.184266,0.633865644,0.633865644,0,0,0,1072
50Vs5,yeast,P54885,>sp|P54885|PROA_YEAST Gamma-glutamyl phosphate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO2 PE=1 SV=1,3,3,3,10.5,10.5,10.5,49.74,1.05E+07,1.06E+07,1.11E+07,7.81E+06,7.55E+06,8.18E+06,23.3232,23.3433,23.4026,22.8965,22.8484,22.9644,2.08755,0.008174289,0.134109433,0.453267,0.631763172,0.631763172,1,0,0,160
25Vs12.5,yeast,P33299,>sp|P33299|PRS7_YEAST 26S protease regulatory subunit 7 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT1 PE=1 SV=1,3,3,3,6.9,6.9,6.9,51.982,4.10E+06,5.09E+06,2.18E+06,3.80E+06,3.95E+06,4.94E+06,21.9656,22.28,21.0548,21.8584,21.9122,22.2351,0.218791,0.604239344,0.752432769,-0.2351,-0.630350633,0.630350633,0,0,0,2108
25Vs12.5,yeast,P30657,>sp|P30657|PSB4_YEAST Proteasome component PRE4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE4 PE=1 SV=1,1,1,1,5.6,5.6,5.6,29.443,2.35E+06,2.29E+06,2.11E+06,,2.09E+06,2.37E+06,21.1615,21.1243,21.0117,21.8307,20.9926,21.1777,0.337656,0.459561883,0.649273381,-0.234516,-0.628590113,0.628590113,0,0,0,1858
50Vs0.5,yeast,P38624,>sp|P38624|PSB6_YEAST Proteasome component PRE3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE3 PE=1 SV=2,3,3,3,14.9,14.9,14.9,23.547,1.44E+07,1.70E+07,1.77E+07,,1.34E+07,1.24E+07,23.7773,24.0165,24.0769,22.1921,23.672,23.5651,0.628064,0.235470226,0.465093561,0.813835,0.626152421,0.626152421,0,0,0,1329
50Vs5,yeast,P38892,>sp|P38892|CRG1_YEAST Probable S-adenosylmethionine-dependent methyltransferase CRG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CRG1 PE=1 SV=1,5,5,5,19.9,19.9,19.9,33.785,1.99E+07,1.85E+07,1.98E+07,2.41E+07,3.74E+07,3.72E+07,24.2443,24.1386,24.2414,24.523,25.1548,25.1504,1.12731,0.074591613,0.285427091,-0.734634,-0.62429072,0.62429072,0,0,0,686
50Vs0.5,yeast,P11076,>sp|P11076|ARF1_YEAST ADP-ribosylation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARF1 PE=1 SV=3,8,8,2,56.4,56.4,13.3,20.529,2.99E+07,2.97E+07,3.05E+07,,3.09E+07,3.41E+07,24.8357,24.8235,24.8641,22.1921,24.8799,25.0222,0.326151,0.471898938,0.657502501,0.809701,0.623027085,0.623027085,0,0,0,1884
25Vs12.5,yeast,A6ZZH2;P36060,>sp|A6ZZH2|MCR1_YEAS7 NADH-cytochrome b5 reductase 2 OS=Saccharomyces cerevisiae (strain YJM789) GN=MCR1 PE=3 SV=1;>sp|P36060|MCR1_YEAST NADH-cytochrome b5 reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCR1 PE=1 SV=1,2,2,2,8.3,8.3,8.3,34.107,2.99E+06,3.23E+06,3.82E+06,2.92E+06,3.03E+06,2.87E+06,21.5131,21.6238,21.8659,21.4785,21.5321,21.4523,0.630828,0.233976371,0.464238831,0.179967,0.620905925,0.620905925,0,0,0,1323
50Vs5,yeast,A6ZPY2;P47089,>sp|A6ZPY2|DENR_YEAS7 Translation machinery-associated protein 22 OS=Saccharomyces cerevisiae (strain YJM789) GN=TMA22 PE=3 SV=1;>sp|P47089|DENR_YEAST Translation machinery-associated protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=T,2,2,2,13.6,13.6,13.6,22.495,3.66E+06,3.89E+06,3.71E+06,6.20E+06,7.24E+06,5.38E+06,21.805,21.8904,21.8224,22.5649,22.7881,22.3588,1.54191,0.028713756,0.202074018,-0.731333,-0.620800333,0.620800333,1,0,0,373
25Vs12.5,yeast,P40580,>sp|P40580|BZRD_YEAST Benzil reductase ((S)-benzoin forming) IRC24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRC24 PE=1 SV=1,2,2,2,8.4,8.4,8.4,28.804,4.14E+06,4.48E+06,5.59E+06,4.14E+06,4.05E+06,4.26E+06,21.9806,22.0938,22.4133,21.9803,21.9505,22.0217,0.513029,0.306881706,0.523774043,0.178399,0.616179049,0.616179049,0,0,0,1538
25Vs12.5,yeast,P34730,>sp|P34730|BMH2_YEAST Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3,14,14,4,53.1,53.1,12.8,31.061,4.44E+07,5.34E+07,5.27E+07,4.45E+07,4.34E+07,4.47E+07,25.4039,25.6708,25.6509,25.4068,25.3708,25.4129,0.753605,0.176357933,0.405731441,0.178366,0.616079567,0.616079567,0,0,0,1141
25Vs12.5,yeast,P15496,>sp|P15496|IDI1_YEAST Isopentenyl-diphosphate Delta-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDI1 PE=1 SV=2,5,5,5,33.7,33.7,33.7,33.351,6.99E+07,5.69E+07,6.25E+07,7.04E+07,7.62E+07,7.46E+07,26.0588,25.763,25.8968,26.0686,26.1834,26.1525,0.882073,0.131197935,0.351064811,-0.228633,-0.610855284,0.610855284,0,0,0,981
25Vs12.5,yeast,P14306,>sp|P14306|CPYI_YEAST Carboxypeptidase Y inhibitor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFS1 PE=1 SV=2,2,2,2,13.7,13.7,13.7,24.357,2.64E+07,1.80E+07,2.33E+07,2.52E+07,3.02E+07,2.33E+07,24.6541,24.1022,24.4725,24.5871,24.8465,24.4748,0.434699,0.367536944,0.577024209,-0.226533,-0.604524646,0.604524646,0,0,0,1672
25Vs12.5,yeast,Q02725,>sp|Q02725|VTC3_YEAST Vacuolar transporter chaperone 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC3 PE=1 SV=1,5,5,4,6.7,6.7,5.6,96.552,1.57E+07,1.84E+07,1.44E+07,1.80E+07,2.14E+07,1.72E+07,23.9042,24.1325,23.7774,24.1035,24.3532,24.0361,0.599319,0.251582831,0.479945445,-0.226234,-0.603623284,0.603623284,0,0,0,1376
25Vs12.5,yeast,P53834,>sp|P53834|HCH1_YEAST Hsp90 co-chaperone HCH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HCH1 PE=1 SV=1,2,2,2,19.6,19.6,19.6,17.246,1.46E+07,1.91E+07,1.77E+07,1.49E+07,1.60E+07,1.44E+07,23.8041,24.1837,24.079,23.8283,23.9329,23.7845,0.539206,0.288930906,0.508340234,0.1737,0.602013493,0.602013493,0,0,0,1492
25Vs12.5,yeast,P25349,>sp|P25349|YCP4_YEAST Flavoprotein-like protein YCP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCP4 PE=1 SV=1,4,4,4,23.1,23.1,23.1,26.35,2.08E+07,3.09E+07,3.03E+07,2.90E+07,2.29E+07,2.04E+07,24.3068,24.8828,24.8528,24.7912,24.4495,24.2811,0.263882,0.544650617,0.712005911,0.173534,0.601513071,0.601513071,0,0,0,2008
50Vs5,yeast,P38197,>sp|P38197|YBD6_YEAST UPF0001 protein YBL036C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL036C PE=1 SV=1,2,2,2,8.6,8.6,8.6,29.123,3.89E+06,3.61E+06,4.11E+06,6.91E+06,5.55E+06,6.60E+06,21.8895,21.7844,21.9703,22.7209,22.4048,22.6542,1.63554,0.02314515,0.19287625,-0.711899,-0.600251356,0.600251356,1,0,0,315
50Vs5,yeast,A6ZKM4;P38182,>sp|A6ZKM4|ATG8_YEAS7 Autophagy-related protein 8 OS=Saccharomyces cerevisiae (strain YJM789) GN=ATG8 PE=3 SV=1;>sp|P38182|ATG8_YEAST Autophagy-related protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG8 PE=1 SV=1,2,2,2,22.2,22.2,22.2,13.627,1.43E+07,1.26E+07,1.43E+07,,1.80E+07,1.42E+07,23.7664,23.5922,23.7737,22.0116,24.0976,23.7562,0.235178,0.581864686,0.737159653,0.422286,0.599004713,0.599004713,0,0,0,2072
25Vs12.5,yeast,P32327,>sp|P32327|PYC2_YEAST Pyruvate carboxylase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYC2 PE=1 SV=2,15,15,3,16.7,16.7,4.6,130.17,1.85E+07,1.87E+07,2.16E+07,1.75E+07,1.78E+07,1.68E+07,24.1411,24.1577,24.3657,24.0576,24.088,24.0011,0.81518,0.153045301,0.385550782,0.1726,0.598697445,0.598697445,0,0,0,1042
25Vs12.5,yeast,P47120,>sp|P47120|DOHH_YEAST Deoxyhypusine hydroxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LIA1 PE=1 SV=1,4,4,4,12.6,12.6,12.6,36.164,7.98E+06,8.48E+06,1.13E+07,8.74E+06,7.82E+06,7.83E+06,22.9286,23.0163,23.4315,23.0591,22.8994,22.9009,0.394326,0.403342513,0.606052717,0.172333,0.59789255,0.59789255,0,0,0,1747
25Vs12.5,yeast,P40989,">sp|P40989|FKS2_YEAST 1,3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSC2 PE=1 SV=2",2,2,1,1.4,1.4,0.7,216.99,8.26E+06,8.84E+06,8.47E+06,9.53E+06,9.62E+06,1.08E+07,22.9771,23.076,23.0143,23.1839,23.1974,23.3578,1.15134,0.070576481,0.281127864,-0.2239,-0.596587232,0.596587232,0,0,0,659
25Vs12.5,yeast,P32337,>sp|P32337|IMB3_YEAST Importin subunit beta-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSE1 PE=1 SV=2,2,2,2,2.7,2.7,2.7,121.03,5.61E+06,5.58E+06,5.96E+06,6.54E+06,5.79E+06,7.83E+06,22.4208,22.4123,22.5063,22.6404,22.4646,22.9012,0.637815,0.230242239,0.462422247,-0.222267,-0.591664408,0.591664408,0,0,0,1307
50Vs5,yeast,P16550,>sp|P16550|APA1_YEAST Protein APA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APA1 PE=1 SV=4,4,4,4,20.9,20.9,20.9,36.492,3.39E+07,3.24E+07,3.35E+07,5.85E+07,5.37E+07,5.05E+07,25.0157,24.9489,24.9977,25.8025,25.679,25.5901,2.0772,0.008371437,0.135648281,-0.7031,-0.590947535,0.590947535,1,0,0,162
50Vs0.5,yeast,Q12522,>sp|Q12522|IF6_YEAST Eukaryotic translation initiation factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF6 PE=1 SV=1,2,2,2,12.7,12.7,12.7,26.457,2.68E+07,2.83E+07,2.60E+07,,2.84E+07,2.94E+07,24.678,24.7517,24.6307,22.1921,24.761,24.8077,0.328849,0.468976412,0.655867385,0.766535,0.590393256,0.590393256,0,0,0,1877
25Vs12.5,yeast,Q04013,>sp|Q04013|YHM2_YEAST Mitochondrial DNA replication protein YHM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHM2 PE=1 SV=1,1,1,1,4.5,4.5,4.5,34.184,3.83E+06,5.75E+06,5.26E+06,4.01E+06,6.93E+06,6.61E+06,21.87,22.4558,22.3258,21.9339,22.725,22.657,0.261017,0.548255504,0.713166847,-0.221434,-0.589153255,0.589153255,0,0,0,2018
25Vs12.5,yeast,P39708,>sp|P39708|DHE5_YEAST NADP-specific glutamate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH3 PE=1 SV=1,9,2,2,22.3,8.1,8.1,49.627,1.81E+07,1.44E+07,1.69E+07,1.93E+07,1.88E+07,1.92E+07,24.1071,23.782,24.0079,24.2003,24.1677,24.1932,0.82617,0.149221019,0.37882512,-0.2214,-0.589050759,0.589050759,0,0,0,1034
25Vs12.5,yeast,P00424;P00425,">sp|P00424|COX5A_YEAST Cytochrome c oxidase polypeptide 5A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX5A PE=1 SV=1;>sp|P00425|COX5B_YEAST Cytochrome c oxidase polypeptide 5B, mitochondrial OS=Saccharomyces cerevisiae (str",1,1,1,9.2,9.2,9.2,17.14,2.75E+06,3.48E+06,3.06E+06,4.35E+06,3.27E+06,3.25E+06,21.389,21.7306,21.5464,22.054,21.6409,21.6339,0.489192,0.32419626,0.53964184,-0.220933,-0.587642946,0.587642946,0,0,0,1577
50Vs0.5,yeast,P50095,>sp|P50095|IMDH3_YEAST Inosine-5-monophosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMD3 PE=1 SV=1,10,10,4,31.2,31.2,14.5,56.584,2.60E+07,2.75E+07,2.17E+07,,2.57E+07,2.58E+07,24.6333,24.7104,24.3709,22.1921,24.6174,24.6214,0.347585,0.449174404,0.643253033,0.761235,0.586386415,0.586386415,0,0,0,1833
50Vs0.5,yeast,Q12513,>sp|Q12513|TMA17_YEAST Translation machinery-associated protein 17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA17 PE=1 SV=1,4,4,4,33.3,33.3,33.3,16.771,1.97E+07,2.04E+07,1.66E+07,,1.70E+07,1.69E+07,24.2335,24.2829,23.9863,22.1921,24.0212,24.0125,0.465227,0.342588673,0.557529614,0.758968,0.584672546,0.584672546,0,0,0,1613
25Vs12.5,yeast,P32626;A6ZQR2;B3LRX9;B5VH97;C7GKE1,>sp|P32626|ENOPH_YEAST Enolase-phosphatase E1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTR4 PE=1 SV=2;>sp|A6ZQR2|ENOPH_YEAS7 Enolase-phosphatase E1 OS=Saccharomyces cerevisiae (strain YJM789) GN=UTR4 PE=3 SV=2;>sp|B3LRX9|ENOPH_YEAS1 Enol,3,3,3,16.7,16.7,16.7,25.187,7.03E+06,8.58E+06,8.49E+06,,9.83E+06,9.85E+06,22.7451,23.0329,23.0165,21.8307,23.2294,23.2316,0.120135,0.758341809,0.853256428,0.167583,0.58357325,0.58357325,0,0,0,2333
