Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
25Vs12.5,Yeast,sp|P04806,43%,44%,45%,40%,40%,1,2,1,1,1,10,11,12,10,11,53740.7, Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK1 PE=1 SV=2,1.48E+10,1.72E+10,1.53E+10,1.38E+10,1.19E+10,1.20E+10,33.79,34.00,33.83,33.68,33.47,33.48,1.14414,0.07176,0.33861,0.33167,0.28433,0.28433,0,0,0,555,,,
50Vs5,Yeast,sp|P15646,0%,0%,0%,0%,2%,0,0,0,0,0,0,0,0,0,1,34465.5, rRNA 2'-O-methyltransferase fibrillarin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP1 PE=1 SV=1,1.33E+08,1.50E+08,1.29E+08,1.18E+08,1.16E+08,1.15E+08,26.99,27.16,26.94,26.81,26.78,26.77,1.14365,0.07184,0.33838,0.24127,0.07706,0.07706,0,0,0,556,,,
50Vs5,Yeast,sp|P38431,12%,8%,7%,6%,11%,0,0,0,0,0,3,2,2,2,3,45262.6, Eukaryotic translation initiation factor 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF5 PE=1 SV=1,1.35E+09,1.37E+09,1.41E+09,1.29E+09,1.17E+09,1.21E+09,30.33,30.35,30.39,30.27,30.12,30.18,1.14305,0.07194,0.33824,0.16687,0.00386,0.00386,0,0,0,557,,,
50Vs5,Yeast,sp|P53691,15%,5%,5%,5%,4%,0,0,0,0,0,3,1,1,1,1,42073.2, Peptidyl-prolyl cis-trans isomerase CPR6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR6 PE=1 SV=1,1.45E+09,1.36E+09,1.36E+09,1.30E+09,1.27E+09,1.23E+09,30.43,30.34,30.34,30.27,30.24,30.20,1.14303,0.07194,0.33765,0.13207,-0.03039,0.03039,0,0,0,558,,,
50Vs5,Yeast,sp|P53912,17%,16%,13%,13%,13%,0,0,0,0,0,4,4,3,3,3,41165.7, Uncharacterized protein YNL134C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL134C PE=1 SV=1,4.28E+09,3.91E+09,3.81E+09,3.48E+09,3.52E+09,3.19E+09,32.00,31.87,31.83,31.69,31.71,31.57,1.14245,0.07204,0.33750,0.23720,0.07306,0.07306,0,0,0,559,,,
50Vs5,Yeast,sp|P49573,4%,4%,4%,4%,0%,0,0,0,0,0,1,1,1,1,0,44443.0, Copper transport protein CTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTR1 PE=1 SV=1,5.21E+06,4.24E+06,3.07E+06,7.26E+06,7.27E+06,6.70E+06,22.31,22.02,21.55,22.79,22.79,22.67,1.14162,0.07217,0.33754,-0.79207,-0.93967,0.93967,0,0,0,560,,,
50Vs5,Yeast,sp|P53081,5%,6%,5%,5%,5%,0,0,0,0,0,1,1,1,1,1,31887.9, NGG1-interacting factor 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIF3 PE=1 SV=1,2.30E+08,2.32E+08,2.31E+08,2.06E+08,1.61E+08,1.68E+08,27.78,27.79,27.78,27.61,27.26,27.32,1.14128,0.07223,0.33720,0.38217,0.21570,0.21570,0,0,0,561,,,
50Vs5,Yeast,sp|P20051,4%,0%,0%,5%,5%,0,0,0,0,0,1,0,0,1,1,40314.0, Dihydroorotase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA4 PE=1 SV=2,5.32E+08,5.22E+08,5.21E+08,4.38E+08,3.68E+08,4.53E+08,28.99,28.96,28.96,28.71,28.46,28.76,1.14088,0.07230,0.33691,0.32803,0.16243,0.16243,0,0,0,562,,,
50Vs5,Yeast,sp|P26785,15%,15%,17%,14%,14%,0,0,1,0,0,3,3,3,3,3,22249.9, 60S ribosomal protein L16-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16B PE=1 SV=3,4.23E+09,3.93E+09,3.99E+09,3.78E+09,3.66E+09,3.72E+09,31.98,31.87,31.89,31.82,31.77,31.79,1.13926,0.07257,0.33757,0.12200,-0.04029,0.04029,0,0,0,563,,,
50Vs5,Yeast,sp|P53598,9%,9%,11%,11%,11%,0,0,0,0,0,2,2,2,2,2,35033.5," Succinyl-CoA ligase [ADP-forming] subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSC1 PE=1 SV=1",1.16E+09,1.21E+09,1.12E+09,1.08E+09,1.07E+09,1.05E+09,30.11,30.17,30.06,30.00,29.99,29.96,1.13361,0.07352,0.34139,0.12557,-0.03678,0.03678,0,0,0,564,,,
50Vs0.5,Yeast,sp|P15700,0%,0%,4%,0%,4%,0,0,0,0,0,0,0,1,0,1,22933.9, Uridylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA6 PE=1 SV=1,3.15E+08,3.77E+08,3.92E+08,4.88E+08,4.61E+08,5.91E+08,28.23,28.49,28.55,28.86,28.78,29.14,1.13298,0.07362,0.34128,-0.50477,-0.55980,0.55980,0,0,0,565,,,
50Vs0.5,Yeast,sp|P25087,18%,14%,12%,14%,14%,0,0,0,0,0,4,3,3,3,3,43431.6, Sterol 24-C-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG6 PE=1 SV=4,9.73E+08,8.60E+08,8.69E+08,7.34E+08,7.95E+08,7.71E+08,29.86,29.68,29.69,29.45,29.57,29.52,1.13169,0.07384,0.34169,0.23097,0.11417,0.11417,0,0,0,566,,,
50Vs5,Yeast,sp|P15703,17%,16%,21%,20%,18%,0,0,0,0,0,5,4,6,5,4,34118.6," Glucan 1,3-beta-glucosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BGL2 PE=1 SV=1",5.97E+09,6.61E+09,6.29E+09,5.61E+09,5.71E+09,5.70E+09,32.48,32.62,32.55,32.38,32.41,32.41,1.13093,0.07397,0.34168,0.14883,-0.01389,0.01389,0,0,0,567,,,
50Vs0.5,Yeast,sp|P52910,12%,16%,14%,12%,12%,0,0,0,0,0,5,7,6,5,5,75492.2, Acetyl-coenzyme A synthetase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACS2 PE=1 SV=1,4.54E+09,4.51E+09,4.25E+09,4.12E+09,4.14E+09,4.09E+09,32.08,32.07,31.98,31.94,31.95,31.93,1.12843,0.07440,0.34305,0.10753,0.00110,0.00110,0,0,0,568,,,
50Vs0.5,Yeast,sp|P47123,0%,0%,6%,0%,0%,0,0,0,0,0,0,0,1,0,0,24306.9, Nuclear import protein MOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOG1 PE=1 SV=1,6.03E+07,6.56E+07,6.71E+07,3.33E+07,5.03E+07,4.34E+07,25.85,25.97,26.00,24.99,25.58,25.37,1.12704,0.07464,0.34354,0.62230,0.47266,0.47266,0,0,0,569,,,
50Vs0.5,Yeast,sp|Q12233,10%,0%,10%,0%,0%,0,0,0,0,0,1,0,1,0,0,12921.9," ATP synthase subunit g, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP20 PE=1 SV=1",9.15E+07,1.12E+08,1.18E+08,8.54E+07,6.89E+07,7.14E+07,26.45,26.74,26.82,26.35,26.04,26.09,1.12662,0.07471,0.34327,0.50877,0.36865,0.36865,0,0,0,570,,,
50Vs5,Yeast,sp|P10869,0%,0%,0%,0%,2%,0,0,0,0,0,0,0,0,0,1,58111.0, Aspartokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM3 PE=1 SV=2,1.91E+08,1.97E+08,2.06E+08,1.53E+08,1.75E+08,1.75E+08,27.51,27.55,27.62,27.19,27.38,27.38,1.12543,0.07492,0.34361,0.24033,0.07614,0.07614,0,0,0,571,,,
50Vs5,Yeast,sp|P22515,8%,11%,10%,8%,7%,0,0,0,0,0,5,7,6,4,3,114270.4, Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA1 PE=1 SV=2,3.17E+09,3.03E+09,3.03E+09,2.86E+09,2.85E+09,2.65E+09,31.56,31.50,31.49,31.41,31.41,31.30,1.12528,0.07494,0.34313,0.14217,-0.02045,0.02045,0,0,0,572,,,
50Vs0.5,Yeast,"sp|A7A1I2,sp|B3RHI0,sp|C7GVT8,sp|C8ZDR4,sp|E7KFU6,sp|E7LXU7,sp|E7NKW8,sp|E7Q714,sp|E7QIA1,sp|Q05905",9%,0%,0%,0%,0%,0,0,0,0,0,1,0,0,0,0,27528.7, Protein HRI1 OS=Saccharomyces cerevisiae (strain YJM789) GN=HRI1 PE=3 SV=1,2.25E+08,1.99E+08,2.48E+08,2.70E+08,2.88E+08,3.10E+08,27.74,27.57,27.89,28.01,28.10,28.21,1.12450,0.07508,0.34315,-0.37267,-0.43879,0.43879,0,0,0,573,,,
50Vs5,Yeast,sp|P38972,3%,3%,2%,2%,2%,0,0,0,0,0,3,3,2,2,2,148909.2, Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE6 PE=1 SV=2,8.79E+08,7.38E+08,8.38E+08,6.53E+08,7.04E+08,6.45E+08,29.71,29.46,29.64,29.28,29.39,29.26,1.12333,0.07528,0.34347,0.29173,0.12672,0.12672,0,0,0,574,,,
50Vs0.5,Yeast,sp|P20459,9%,6%,9%,7%,8%,0,0,0,0,0,2,1,2,1,2,34718.7, Eukaryotic translation initiation factor 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI2 PE=1 SV=1,2.09E+09,2.15E+09,1.95E+09,1.83E+09,1.84E+09,1.90E+09,30.96,31.00,30.86,30.77,30.78,30.82,1.12224,0.07547,0.34374,0.14980,0.03982,0.03982,0,0,0,575,,,
50Vs5,Yeast,sp|P34223,4%,2%,4%,2%,0%,0,0,0,0,0,1,1,2,1,0,46987.8, UBX domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHP1 PE=1 SV=1,2.19E+08,2.17E+08,2.44E+08,1.66E+08,1.19E+08,1.70E+08,27.71,27.69,27.86,27.31,26.83,27.34,1.12194,0.07552,0.34338,0.59580,0.42590,0.42590,0,0,0,576,,,
50Vs0.5,Yeast,sp|P23639,15%,7%,8%,8%,8%,0,0,0,0,0,2,1,1,1,1,27163.1, Proteasome component Y7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE8 PE=1 SV=1,5.36E+08,4.75E+08,5.10E+08,6.03E+08,5.64E+08,5.75E+08,29.00,28.82,28.93,29.17,29.07,29.10,1.12038,0.07579,0.34402,-0.19683,-0.27772,0.27772,0,0,0,577,,,
50Vs5,Yeast,sp|P04456,18%,18%,18%,18%,18%,0,0,0,0,0,2,2,2,2,2,15758.2, 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL25 PE=1 SV=4,6.15E+09,6.06E+09,5.67E+09,5.42E+09,5.53E+09,5.35E+09,32.52,32.50,32.40,32.33,32.36,32.32,1.11909,0.07602,0.34444,0.13307,-0.02940,0.02940,0,0,0,578,,,
50Vs0.5,Yeast,sp|P06208,11%,7%,8%,9%,8%,0,0,0,0,0,4,2,3,3,3,68409.3, 2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1,3.08E+09,3.08E+09,3.53E+09,2.68E+09,2.70E+09,2.83E+09,31.52,31.52,31.72,31.32,31.33,31.40,1.11826,0.07616,0.34451,0.23783,0.12046,0.12046,0,0,0,579,,,
50Vs5,Yeast,"sp|A6ZRX0,sp|P24783",0%,0%,2%,0%,2%,0,0,0,0,0,0,0,1,0,1,61001.2, ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain YJM789) GN=DBP2 PE=3 SV=1,5.73E+07,6.51E+07,7.01E+07,5.06E+07,5.37E+07,4.72E+07,25.77,25.96,26.06,25.59,25.68,25.49,1.11537,0.07667,0.34621,0.34177,0.17594,0.17594,0,0,0,580,,,
50Vs5,Yeast,"sp|A6ZT71,sp|B3LSS7,sp|B5VK90,sp|P38858",7%,10%,8%,10%,8%,0,0,0,0,0,1,2,2,2,2,27784.9, 6-phosphogluconolactonase 3 OS=Saccharomyces cerevisiae (strain YJM789) GN=SOL3 PE=3 SV=1,7.32E+08,6.50E+08,7.19E+08,6.09E+08,6.27E+08,5.90E+08,29.45,29.28,29.42,29.18,29.22,29.14,1.11404,0.07691,0.34667,0.20097,0.03741,0.03741,0,0,0,581,,,
25Vs12.5,Yeast,sp|P32074,6%,5%,5%,3%,0%,0,0,0,0,0,3,2,2,1,0,104836.2, Coatomer subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC21 PE=1 SV=2,7.39E+08,8.75E+08,7.47E+08,6.75E+08,5.97E+08,6.08E+08,29.46,29.70,29.48,29.33,29.15,29.18,1.11123,0.07741,0.34832,0.32620,0.27408,0.27408,0,0,0,582,,,
50Vs5,Yeast,sp|P34216,4%,4%,3%,4%,4%,0,0,0,0,0,5,4,3,4,4,150784.5, EH domain-containing and endocytosis protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDE1 PE=1 SV=2,1.29E+09,1.31E+09,1.19E+09,1.10E+09,1.16E+09,1.06E+09,30.26,30.29,30.15,30.04,30.11,29.98,1.11066,0.07751,0.34818,0.19337,0.02993,0.02993,0,0,0,583,,,
50Vs5,Yeast,sp|P38689,0%,4%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,35125.1, Ribose-phosphate pyrophosphokinase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS3 PE=1 SV=1,3.75E+07,4.36E+07,6.61E+07,8.19E+07,9.78E+07,8.29E+07,25.16,25.38,25.98,26.29,26.54,26.31,1.11033,0.07757,0.34785,-0.87343,-1.01973,1.01973,0,0,0,584,,,
50Vs0.5,Yeast,sp|P47068,1%,1%,1%,1%,1%,0,0,0,0,0,1,1,1,1,1,128296.0, Myosin tail region-interacting protein MTI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BBC1 PE=1 SV=2,2.41E+08,1.94E+08,1.71E+08,1.10E+08,1.50E+08,1.24E+08,27.85,27.53,27.35,26.72,27.16,26.89,1.10782,0.07802,0.34927,0.65317,0.50093,0.50093,0,0,0,585,,,
25Vs12.5,Yeast,sp|P33322,5%,5%,3%,2%,4%,0,0,0,0,0,1,2,1,1,1,54706.3, H/ACA ribonucleoprotein complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBF5 PE=1 SV=1,4.78E+08,5.62E+08,4.89E+08,4.28E+08,4.30E+08,4.27E+08,28.83,29.07,28.87,28.67,28.68,28.67,1.10630,0.07829,0.34990,0.24690,0.12527,0.12527,0,0,0,586,,,
50Vs5,Yeast,sp|P39101,4%,4%,4%,4%,4%,0,0,0,0,0,1,1,1,1,1,44856.8, Protein CAJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAJ1 PE=1 SV=1,4.78E+08,5.50E+08,5.26E+08,1.72E+08,3.32E+08,1.22E+08,28.83,29.04,28.97,27.36,28.31,26.86,1.10541,0.07845,0.35002,1.43573,1.25233,1.25233,0,0,0,587,,,
50Vs0.5,Yeast,sp|P01095,0%,23%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,8589.8, Protease B inhibitors 2 and 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBI2 PE=1 SV=3,1.55E+08,1.77E+08,2.66E+08,9.17E+07,5.89E+07,1.11E+08,27.20,27.40,27.99,26.45,25.81,26.73,1.10203,0.07906,0.35215,1.20080,1.00259,1.00259,0,0,0,588,,,
50Vs0.5,Yeast,sp|P35189,7%,0%,0%,0%,7%,0,0,0,0,0,1,0,0,0,1,27440.7, Transcription initiation factor TFIID subunit 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF14 PE=1 SV=1,4.26E+07,4.17E+07,4.39E+07,3.73E+07,3.64E+07,4.04E+07,25.34,25.31,25.39,25.15,25.12,25.27,1.10073,0.07930,0.35261,0.16927,0.05765,0.05765,0,0,0,589,,,
50Vs5,Yeast,sp|P09938,21%,22%,21%,19%,23%,0,0,0,0,0,5,5,5,5,6,46149.4, Ribonucleoside-diphosphate reductase small chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR2 PE=1 SV=2,5.97E+09,5.97E+09,5.45E+09,5.29E+09,5.00E+09,5.19E+09,32.47,32.48,32.34,32.30,32.22,32.27,1.09491,0.08037,0.35676,0.16580,0.00280,0.00280,0,0,0,590,,,
50Vs5,Yeast,sp|P11632,14%,14%,14%,14%,14%,0,0,0,0,0,1,1,1,1,1,10802.9, Non-histone chromosomal protein 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP6A PE=1 SV=1,6.44E+08,6.56E+08,6.39E+08,6.06E+08,6.16E+08,5.73E+08,29.26,29.29,29.25,29.18,29.20,29.09,1.09140,0.08102,0.35904,0.11077,-0.05134,0.05134,0,0,0,591,,,
50Vs5,Yeast,sp|P39990,19%,19%,19%,19%,19%,0,0,0,0,0,1,1,1,1,1,13569.4, 13 kDa ribonucleoprotein-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNU13 PE=1 SV=1,1.19E+09,1.12E+09,1.17E+09,1.10E+09,1.02E+09,1.01E+09,30.15,30.06,30.13,30.04,29.92,29.91,1.09091,0.08111,0.35884,0.15480,-0.00802,0.00802,0,0,0,592,,,
50Vs0.5,Yeast,sp|P53090,25%,21%,22%,20%,21%,0,0,0,0,0,8,7,7,7,7,56180.5, Aromatic/aminoadipate aminotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO8 PE=1 SV=1,9.64E+09,8.90E+09,9.28E+09,7.49E+09,8.43E+09,8.25E+09,33.17,33.05,33.11,32.80,32.97,32.94,1.08963,0.08135,0.35929,0.20370,0.08919,0.08919,0,0,0,593,,,
25Vs12.5,Yeast,sp|P05318,21%,28%,36%,43%,43%,0,0,0,0,0,1,1,2,2,2,10908.3, 60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1A PE=1 SV=4,3.54E+09,3.96E+09,3.82E+09,3.33E+09,3.38E+09,3.42E+09,31.72,31.88,31.83,31.63,31.66,31.67,1.08892,0.08149,0.35928,0.15830,-0.04100,0.04100,0,0,0,594,,,
50Vs5,Yeast,sp|P25491,5%,2%,5%,4%,7%,0,0,0,0,0,2,1,2,1,2,44671.7, Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDJ1 PE=1 SV=1,1.33E+09,1.38E+09,1.32E+09,8.49E+08,8.43E+08,1.17E+09,30.30,30.37,30.29,29.66,29.65,30.12,1.08873,0.08152,0.35883,0.51173,0.34318,0.34318,0,0,0,595,,,
50Vs5,Yeast,sp|P23254,20%,22%,21%,22%,21%,0,0,0,0,0,12,11,11,12,11,73807.9, Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4,2.88E+10,2.87E+10,2.67E+10,2.63E+10,2.54E+10,2.55E+10,34.75,34.74,34.64,34.61,34.56,34.57,1.08841,0.08158,0.35849,0.12503,-0.03731,0.03731,0,0,0,596,,,
25Vs12.5,Yeast,sp|P39935,1%,2%,3%,2%,1%,0,0,0,0,0,1,2,2,2,1,107103.8, Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF4631 PE=1 SV=2,3.32E+08,3.55E+08,4.08E+08,2.91E+08,3.01E+08,3.00E+08,28.31,28.40,28.60,28.11,28.17,28.16,1.08755,0.08174,0.35860,0.29093,0.20790,0.20790,0,0,0,597,,,
50Vs5,Yeast,sp|P14126,9%,11%,13%,10%,10%,0,0,0,0,0,4,4,5,4,4,43757.9, 60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL3 PE=1 SV=4,9.58E+09,8.90E+09,9.09E+09,8.49E+09,8.44E+09,7.89E+09,33.16,33.05,33.08,32.98,32.97,32.88,1.08656,0.08193,0.35882,0.15140,-0.01136,0.01136,0,0,0,598,,,
50Vs5,Yeast,sp|P00830,35%,37%,35%,36%,36%,0,0,0,0,0,12,14,13,13,13,54794.7," ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",1.86E+10,1.68E+10,1.69E+10,1.59E+10,1.51E+10,1.44E+10,34.11,33.97,33.98,33.89,33.82,33.74,1.08371,0.08247,0.36058,0.20480,0.04118,0.04118,0,0,0,599,,,
50Vs5,Yeast,sp|P43555,0%,3%,0%,3%,0%,0,0,0,0,0,0,1,0,1,0,50332.5, Protein EMP47 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMP47 PE=1 SV=1,1.26E+06,8.15E+06,1.28E+06,2.15E+07,1.85E+07,1.53E+07,20.27,22.96,20.29,24.36,24.14,23.87,1.08359,0.08249,0.36008,-2.95253,-3.06543,3.06543,0,0,0,600,,,
50Vs5,Yeast,sp|Q12230,25%,28%,30%,29%,31%,1,1,1,1,1,6,6,7,6,7,38071.6, Sphingolipid long chain base-responsive protein LSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSP1 PE=1 SV=1,4.35E+09,3.98E+09,3.93E+09,3.58E+09,3.75E+09,3.58E+09,32.02,31.89,31.87,31.74,31.80,31.74,1.08286,0.08263,0.36008,0.16733,0.00432,0.00432,0,0,0,601,,,
50Vs0.5,Yeast,sp|P05319,40%,40%,40%,40%,40%,0,0,0,0,0,3,3,3,3,3,10746.2, 60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2A PE=1 SV=1,6.60E+09,6.85E+09,5.12E+09,4.60E+09,4.59E+09,4.46E+09,32.62,32.67,32.25,32.10,32.10,32.05,1.08114,0.08296,0.36091,0.43243,0.29873,0.29873,0,0,0,602,,,
50Vs5,Yeast,sp|P39976,2%,2%,2%,2%,2%,0,0,0,0,0,1,1,1,1,1,55226.8, D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1,4.43E+07,4.19E+07,1.61E+08,3.47E+08,2.42E+08,2.89E+08,25.40,25.32,27.26,28.37,27.85,28.11,1.08082,0.08302,0.36058,-2.11567,-2.24201,2.24201,0,0,0,603,,,
50Vs0.5,Yeast,sp|P00549,73%,73%,74%,69%,73%,0,0,0,0,0,36,33,33,32,34,54545.4, Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,3.77E+11,3.50E+11,3.57E+11,3.38E+11,3.24E+11,3.35E+11,38.46,38.35,38.38,38.30,38.24,38.29,1.07957,0.08326,0.36102,0.12023,0.01273,0.01273,0,0,0,604,,,
50Vs5,Yeast,sp|P53281,0%,7%,7%,0%,7%,0,0,0,0,0,0,1,1,0,1,26139.4, LAS seventeen-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB1 PE=1 SV=1,1.03E+08,8.48E+07,1.25E+08,1.41E+08,1.65E+08,1.51E+08,26.62,26.34,26.89,27.07,27.30,27.17,1.07908,0.08335,0.36083,-0.56193,-0.71324,0.71324,0,0,0,605,,,
50Vs5,Yeast,sp|P07806,12%,13%,14%,12%,13%,0,0,0,0,0,10,11,11,10,10,125774.7," Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAS1 PE=1 SV=2",6.46E+09,6.01E+09,6.01E+09,5.59E+09,5.73E+09,5.31E+09,32.59,32.49,32.49,32.38,32.42,32.31,1.07880,0.08341,0.36046,0.15177,-0.01100,0.01100,0,0,0,606,,,
25Vs12.5,Yeast,sp|P47068,1%,1%,1%,1%,1%,0,0,0,0,0,1,1,1,1,1,128296.0, Myosin tail region-interacting protein MTI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BBC1 PE=1 SV=2,1.70E+08,2.35E+08,2.65E+08,1.41E+08,1.47E+08,1.14E+08,27.34,27.81,27.98,27.07,27.13,26.76,1.07812,0.08354,0.36043,0.72210,1.01703,1.01703,0,0,0,607,,,
50Vs0.5,Yeast,sp|P47176,27%,26%,28%,28%,27%,2,1,2,2,2,5,5,5,5,5,41626.0," Branched-chain-amino-acid aminotransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAT2 PE=1 SV=1",4.51E+09,4.45E+09,4.33E+09,4.85E+09,4.59E+09,4.73E+09,32.07,32.05,32.01,32.17,32.10,32.14,1.07807,0.08355,0.35988,-0.09200,-0.18168,0.18168,0,0,0,608,,,
50Vs5,Yeast,sp|P20081,21%,25%,21%,21%,16%,0,0,0,0,0,2,2,2,2,1,12158.1, FK506-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FPR1 PE=1 SV=2,6.90E+09,7.02E+09,6.57E+09,6.46E+09,6.35E+09,6.22E+09,32.68,32.71,32.61,32.59,32.56,32.53,1.07756,0.08365,0.35971,0.10627,-0.05577,0.05577,0,0,0,609,,,
50Vs0.5,Yeast,sp|P00812,13%,6%,8%,8%,9%,0,0,0,0,0,3,2,2,2,2,35662.7, Arginase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAR1 PE=1 SV=1,1.77E+09,1.41E+09,1.39E+09,1.21E+09,1.18E+09,1.15E+09,30.72,30.40,30.38,30.17,30.13,30.10,1.07589,0.08397,0.36051,0.36377,0.23582,0.23582,0,0,0,610,,,
25Vs12.5,Yeast,sp|P40093,4%,3%,4%,3%,4%,0,0,0,0,0,1,1,1,1,1,38175.9, UPF0160 protein YER156C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YER156C PE=1 SV=1,3.30E+08,3.28E+08,3.19E+08,2.88E+08,2.66E+08,3.04E+08,28.30,28.29,28.25,28.10,27.99,28.18,1.07423,0.08429,0.36130,0.18700,0.01286,0.01286,0,0,0,611,,,
